text,disease,section
"r nose can include not being able to: facial palsy uk has more information about how facial palsy affects the facial muscles and how your face works. facial palsy is caused by temporary or permanent damage to the facial nerve. when a facial nerve is either not working or missing, the muscles in the face don’t receive the right signals to function properly. this results in paralysis of the affected part of the face. this can affect movement of one or both eyes and/or the mouth, as well as other areas. sometimes only the lower half of the face is affected. sometimes one whole side of the face is affected and in some cases both sides of the face are affected. facial palsy uk has more information about how the facial nerves work. the treatment will depend on the cause. oral corticosteroids, taken as tablets, can be used to reduce the swelling of the facial nerve.",Facial palsy,
"ent problems, but can occasionally flare up. the main symptom of costochondritis is chest pain that appears centrally. the pain doesn’t usually spread across the chest or into the arms. the pain may be made worse by: modifying your activities while you recover may help reduce your symptoms. inflammation is the body’s natural response to infection, irritation or injury. it’s not known exactly why this area becomes inflamed but in some cases it’s been linked to: for costochondritis to be diagnosed you’ll need an assessment from a healthcare professional. they’ll initially ask you questions and then carry out a physical examination. you may sometimes need to have a further examination. this is to rule out other possible health conditions. costochondritis often gets better after a few weeks. it’s often referred to as a self limiting condition.",Costochondritis,
"th hub on 111 for advice. samh has information and guidance for friends and family of someone diagnosed with psychosis. this includes information on how to look after yourself while supporting someone else. psychosis is sometimes caused by a specific mental health condition like: psychosis can also be triggered by: how often a psychotic episode occurs and how long it lasts can depend on the underlying cause. postnatal psychosis is a severe form of postnatal depression. this is a type of depression some women experience after having a baby. it often happens during the first few weeks after having a baby. postnatal psychosis is more likely to affect women who already have a mental health condition. for example, bipolar disorder or schizophrenia.",Psychosis,
"targeted wrist exercises to encourage movement, stretching and strengthening can help to improve your wrist and hand movement and pain. read about exercises for wrist, hand and finger problems pain medication can help you move more comfortably, which can help manage your symptoms. more about taking painkillers if painkillers aren’t helping to control the pain, your healthcare professional may discuss the option of having a corticosteroid injection into your carpal tunnel. corticosteroids are medicines that help reduce pain and inflammation. they may also be given with a local anaesthetic. injections may not cure your condition, they are used to help with the pain. read more about corticosteroids in some cases, surgery may be an option if all other treatment options have been tried.",Carpal tunnel syndrome,
"then around the hips. this doesn’t usually happen until many years after the initial diagnosis. it’s usually mild but can progress to be more severe. the life expectancy of someone with opmd is close to normal if it’s managed well. opmd is an autosomal dominant inherited type of md. if you have a dominant inherited md, you only need to inherit the altered gene from one parent to be affected. this means, if you have a child with an unaffected partner there’s still a 1 in 2 chance your child will develop the condition. if you have a parent with opmd you might want to find out if you’re likely to develop the condition. you might want to consider having a genetic test. you’ll be offered counselling if you’re considering genetic testing. if you do find out you have inherited the condition, it’s impossible to predict when you’ll develop symptoms. a blood test can confirm if you have opmd.",Oculopharyngeal muscular dystrophy (OPMD),
"coronavirus. there are things you can do to reduce the spread of coronavirus infection. respiratory infections are common in children and young people, especially during the winter months. symptoms can be caused by respiratory infections, including the common cold and coronavirus. children and young people with mild symptoms can continue to attend their education setting. mild symptoms include a runny nose, sore throat, or slight cough. if a child or young person aged 18 or under tests positive or has respiratory symptoms, they should stay at home. when they no longer have a fever (if they had one), and don’t need medicine to control the fever, they can return to normal activities. there’s no specific time limit they need to avoid contact with others. you can use 48 hours as a rough guide. children and young people tend to be infectious for less time than adults.",Coronavirus (COVID-19),
"the main signs of bed are regularly: speak to your gp practice if you’re experiencing these symptoms and think you might have bed. if you feel like you have to purge what you’ve eaten after a binge to avoid gaining weight, you may have symptoms of bulimia nervosa. if binges don’t happen regularly, and your weight is very low, you may have symptoms of anorexia nervosa. there are treatments available for bed. treatment does not directly focus on weight loss. it focuses on addressing things like relationships, feelings and thoughts that result in a person having a difficult relationship with food. guided self-help is where you work through information and activities on your own. you’ll also have regular support sessions with a professional. another treatment is cognitive behavioural therapy (cbt), either individually or as part of a group.",Binge eating disorder (BED),
"severe, or treatment does not help. there are things you can do to reduce your chances of developing otitis externa. you should also try to avoid getting water, soap or shampoo into your ears when you have a shower or bath. source: ent scotland last updated: 01 june 2026",Outer ear infection (otitis externa),
"be used to treat dystonia: depending on the type of dystonia you have, physiotherapy might help you improve your range of movement. you might have surgery if your dystonia symptoms don’t improve with other treatments. deep brain stimulation (dbs) is a type of brain surgery. it’s offered to some people with dystonia where other treatments haven’t been successful. the surgeon will place a small device, like a pacemaker, under the skin of your chest or tummy. the device sends electrical signals along wires placed in the part of the brain that controls movement. it’ll be several weeks or months before you begin to feel the benefit of dbs. read more about deep brain stimulation source: scottish government last updated: 07 january 2026",Dystonia,
"tack, symptoms and treatments heart failure is a condition where your heart cannot pump blood around your body as well as it should. information about heart failure, symptoms and treatments a heart rhythm problem, also known as arrhythmia, usually means your heart is beating too fast, too slow or irregularly.",Heart disease,
"nts will be eligible for nhs treatments. for example, if you and your partner already have a child together you will not be eligible for ivf or icsi. source: scottish government last updated: 30 april 2026",Infertility,
"a soft tissue sarcoma (sts) is a rare cancer. it can develop in the cells of tissues that support, connect, surround and protect the organs in the body. these tissues include: the legs and arms are the most common areas for soft tissue sarcoma to start. but it can develop anywhere in the body, including the: sarcoma is more common in people over 30. certain types of sarcoma can develop in children and teenagers. the symptoms and treatment may be different from an adult with the same sarcoma. the children’s cancer and leukaemia group (cclg) has more information about children’s cancers. sarcomas can also start in the bone. this is called primary bone cancer. they grow differently from soft tissue sarcomas and are treated differently. sometimes it’s hard to tell whether a sarcoma has started in soft tissue or bone. some types, like ewing sarcoma, can start in either the bone or the soft tissue. ewing sarcoma is most common in teenagers.",Soft tissue sarcomas,
"tice urgently if:] you think you or your child may have measles and: if your gp is closed, phone 111. you should phone your gp first before visiting. they can make arrangements to reduce the risk of spreading the infection to others. you might be more at risk of having measles, or of experiencing complications from measles, if you’re: measles can be unpleasant, but will usually pass in about 7 to 10 days without causing any further problems. once you’ve had measles, your body builds up resistance (immunity) to the virus. it’s highly unlikely you’ll get it again. however, measles can lead to serious and potentially life-threatening complications in some people. these include infections of the lungs (pneumonia) and brain (encephalitis). the measles virus is contained in tiny droplets that come out of the nose and mouth when an infected person breathes, coughs or sneezes.",Measles,
"doctor will need to know if you are producing much more or darker phlegm than usual. often, the cause of a persistent cough is unknown (idiopathic). rarely, a persistent cough can be a symptom of a more serious condition, such as lung cancer, heart failure, a pulmonary embolism (blood clot on the lung) or tuberculosis. coughs in children can also be caused by respiratory tract infections, asthma or gord. causes of coughs that are more common in children than adults include: occasionally, a persistent cough in a child can be a sign of a serious long-term condition, such as cystic fibrosis. read more about what to do if your child has cold or flu symptoms source: scottish government last updated: 18 march 2026 british sign language (bsl) | العربية | 简体中文 | polski | română | اردو",Cough,
"for some people, the sadness may continue or get worse. if you think the sadness may be turning into depression, there are things you can do to help. you may cope by trying not to find out much about the cancer. or you may cope by not talking about it. if you feel like this, tell people that you don’t want to talk about it right now. you can also tell your cancer doctor if there are things you don’t want to know or talk about yet. sometimes, it may be hard to accept that you have cancer. this can stop you making decisions about treatment. if this happens, it’s very important to get help from your healthcare team. you may feel that your family or friends are avoiding you or avoiding talking about the cancer. this is usually because they’re also finding it difficult to cope. they may need support too. try to tell them how this makes you feel. it may help you, your family and friends talk openly about how you’re feeling. you may feel angry about your diagnosis.",Cancer and your emotions,
"sed to rule out other possible causes of the your symptoms. tests might include: gene tests can be used to support the diagnosis in some individuals. they might provide an explanation of why they’ve developed the disorder. your gp can give you more information about specialists who can help with genetic testing. there are many reasons why there may be delays in diagnosis. the initial symptoms might not appear to be serious. or symptoms might not be recognised as being related to the nervous system so a neurologist isn’t consulted at first. sometimes, the diagnosis of mnd is clear without the need for further tests. confirming a diagnosis can sometimes be time-consuming even for an experienced neurologist. they might need a period of observation to be sure, particularly in cases where the condition progresses slowly. mnd can only be diagnosed if the symptoms are clearly getting worse (progressive).",Motor neurone disease (MND),
"ou know may have ocd, it’s a good idea to: treatment for ocd depends on the how much the condition is affecting your daily life. the 2 main treatments are: if your ocd has a severe impact on your daily life, you’ll usually be referred to a specialist mental health service. you’ll likely receive a combination of cbt and a course of antidepressants. children with ocd are usually referred to a healthcare professional with experience of treating ocd in children. it can take several months before a treatment has a noticeable effect. you could try our ocd self-help guide for mild to moderate symptoms of ocd. you might have specialist treatment if you’ve tried other options and your ocd is still not under control. most people improve after receiving treatment. ocd action have online support groups where you can connect with other people with similar experiences. source: nhs 24 last updated: 06 july 2026",Obsessive compulsive disorder (OCD),
"assume they have a concussion and to follow the gras recovery plan. you should not diagnose concussion without consulting a healthcare professional. even if someone does not need to go to hospital, it’s important that you call nhs 24 on 111 for advice. concussion can cause complications which can be severe. this is why you should treat anyone with a suspected concussion as if they definitely have one. when someone is recovering from concussion, they can take paracetamol to help relieve a headache. they should avoid drinking alcohol or taking recreational drugs. getting plenty of rest and eating well will also help their recovery. the graduated return to activity and sport (gras) recovery plan is recommended for anyone recovering from a concussion. it involves slowly increasing the amount of activity done over a period of time. everyone’s journey is different. it will take some people longer to recover than others.",Concussion,
"different settings like school and home. sometimes they can cause problems. symptoms may appear differently depending on what environment they’re in. children and young people with adhd can sometimes appear disruptive and rude in settings like the classroom. there’s often support and adjustments that can be made to help children and young people cope with their day to day lives. whether they have a diagnosis or not, there are things you can try to help your child manage the symptoms of adhd. many children, especially when they’re young, might struggle to concentrate. they might also find it hard to sit still for long periods of time. this doesn’t necessarily mean they have adhd. some children are more excitable or restless than others. all children are unique and develop at their own pace. our ability to focus usually improves as we get older. for example, a 12 year old can usually pay attention for longer than a 2 year old.",ADHD in children and young people,
"called carcinoma in situ (cis). some people may have both a papillary tumour and cis. if cancer cells are in the connective tissue this is called t1. muscle-invasive bladder cancer (mibc) means the cancer is in the muscle layer of the bladder or has spread through the muscle into the fat layer. it hasn’t spread outside the bladder. locally advanced bladder cancer means the cancer has spread outside the bladder into: it may also be in lymph nodes in the pelvis, near the bladder. advanced bladder cancer means the cancer has spread to other parts of the body. there are different types of bladder cancer. these are named after the cell they started in. the most common type is called urothelial cancer. it’s also called urothelial carcinoma or transitional cell carcinoma (tcc). it starts in cells called urothelial or transitional cells in the bladder lining.",Bladder cancer,
"upport is available. phone samaritans on 116 123 for support. they are open 24 hours a day, 7 days a week. you can also visit the samaritans website. you can also speak to your gp, but you should do this as soon as possible. get help with suicidal thoughts source: nhs 24 last updated: 06 july 2026",Depression,
"n develop on the palms of the hands and soles of the feet. periungual warts develop under and around the fingernails or toenails. they: filiform warts are long and slender in appearance. they often develop on the neck or face. it’s possible to have between one and several hundred plane warts, which can develop in clusters. they are usually: plane warts can sometimes develop on the lower legs of women. this is because the human papilloma virus (hpv) can be spread through shaving. warts usually clear up without treatment. the length of time it takes for a wart to disappear will vary from person to person. it can take up to 2 years for the virus to leave your system and for warts to disappear. warts tend to last longer in older children and adults. leaving the wart to go away by itself is one option.",Warts and verrucas,
"are worried about anything. important symptoms to be aware of are: if womb cancer comes back in the same area, it can often be treated successfully. you may get anxious between appointments. this is natural. it may help to get support from family, friends or a support organisation. macmillan cancer support also has further information to support you. you can: womb cancer, its treatment and side effects may affect your sex life and how you feel about yourself. some treatments can cause an early menopause. macmillan cancer support have more information about coping with menopausal symptoms. even if you already have a healthy lifestyle, you may choose to make some positive lifestyle changes after treatment. making small changes like eating well and keeping active can improve your health and wellbeing and help your body recover. source: macmillan cancer support last updated: 19 march 2026",Womb (uterus) cancer,
"nal. pain can also be influenced by anything that impacts general health, like: as we get older, it’s normal to have age-related changes in our neck. often these occur with no symptoms, but, they may contribute to neck pain. the medical term for this ageing is cervical spondylosis. it’s managed in the same way as mechanical neck pain. there are many things you can do to help your mechanical neck pain. gentle exercises can help keep your neck moving. exercises increase the blood flow to the tissues and help with healing. exercises may be uncomfortable to start but they are safe to do. they’ll become much easier as you get movement back. its known that being afraid of moving can worsen your pain. any movement can be helpful. read about exercises for neck problems pain medication can help you move more comfortably, which can help manage your symptoms.",Mechanical neck pain,
"you may be advised to return for another appointment a year later, attend more regular appointments, or discuss treatment options with a specialist. read more about diabetic eye screening you can reduce your risk of developing diabetic retinopathy, or help prevent it getting worse, by: read more about how to prevent diabetic retinopathy. treatment for diabetic retinopathy is only necessary if screening detects significant problems that mean your vision is at risk. if the condition hasn’t reached this stage, the above advice on managing your diabetes is recommended. the main treatments for more advanced diabetic retinopathy are: read more about the treatment of diabetic retinopathy source: nhs 24 last updated: 16 june 2026",Diabetic retinopathy,
"any other health conditions it’s important to discuss this with your healthcare professional so they can assess how this could impact your treatment. some conditions involve food and eating, but aren’t related to concerns about weight or body shape. these include avoidant restrictive food intake disorder (arfid). arfid causes a person to avoid certain foods or types of food, restrict how much they eat, or both. learn more about arfid on the beat website eating disorders are often blamed on the social pressure to be thin, but the causes are usually more complex. there are lots of possible reasons why a person might develop an eating disorder. the causes are different for everybody. these causes can be psychological, environmental, and biological. an eating disorder can have a major impact on your life. it can affect your relationships, job, schoolwork, and physical health.",Eating disorders,
"uring daylight hours, and are found in both urban and rural areas. yellow fever can’t be passed directly from person to person through close contact. the symptoms of yellow fever occur in 2 stages. the initial symptoms develop 3 to 6 days after infection, and can include: this stage will usually pass after 3 to 4 days and most people will make a full recovery. however, around 15% of people go on to develop more serious problems, including jaundice (yellowing of the skin and whites of the eyes), kidney failure and bleeding from the mouth, nose, eyes or stomach (causing blood in your vomit and stools). up to half of those who experience these symptoms will die. you should see a doctor as soon as possible if you develop symptoms of yellow fever and are currently travelling in an area where the virus is found, or have recently returned from one of these areas.",Yellow fever,
"ed, and they’ll appear to be unresponsive to their environment. they may not respond to sound or pain, or be able to communicate or move voluntarily. someone in a coma may also have very reduced basic reflexes, like coughing and swallowing. they may be able to breathe on their own, although some people require a machine (a ventilator), and a breathing tube to keep their airway open. over time, someone in a coma may start to gradually regain consciousness and become more aware. some people will wake up – the length of time a person spends in a coma can vary from days to months. other patients may never regain consciousness and wake up. doctors assess a person’s level of consciousness using a tool called the glasgow coma scale. this level is monitored constantly for signs of improvement or deterioration. the glasgow coma scale assesses 3 things: in the short term, a person in a coma will normally be looked after in an icu.",Coma,
"this information may be useful if you have been diagnosed with osteoarthritis of the knee. if you have new or ongoing symptoms should visit your healthcare professional for advice. read about advice on dealing with a knee problem osteoarthritis is a common condition which can affect any joint in the body. when a joint develops osteoarthritis, part of the cartilage thins and the surface becomes rougher (sometimes called wear and tear). this means the joint doesn’t move as smoothly as it should. read more about osteoarthritis the exact cause of osteoarthritis is unknown, however it’s likely that a combination of factors may contribute. the likelihood of developing osteoarthritis in the knee can be increased by these can vary from person to person.",Osteoarthritis of the knee,
"terol, diabetes and thyroid issues. comedones are a form of acne that are caused by pores becoming blocked with oil and dead skin cells. they’re small bumps on the skin with a black or white point. comedones are not usually painful, but they may release pus. pyogenic granulomas are small red lumps on the skin. they’re an overgrowth of blood vessels. they can appear anywhere on the body, but they’re more common on the fingers and face. they often appear on the body where there’s been an injury or trauma. pyogenic granulomas can seem alarming as they can often bleed easily. in most cases, bleeding can be stopped with uninterrupted, firm pressure for 10 to 20 minutes. pyogenic granulomas can affect anyone, but they’re more common in pregnancy. speak to your gp practice if you think you have a pyogenic granuloma and it continues to grow. in some cases, you may need treatment to remove it.",Benign skin lesions,
"n also cause it. tennis elbow causes pain and tenderness on the outside of your elbow that may spread down your forearm. this can cause: tennis elbow symptoms develop when there’s a problem with the tendons around the elbow. these tendons help lift your hand backwards. activities that involve the use of these tendons can include: repeated use of the muscles that lift your wrist up can cause changes to the tendon, often due to overloading it. other factors that can affect tendon health include: in order for tennis elbow to be diagnosed you’ll need an assessment from a healthcare professional. they’ll initially ask you questions about your elbow issue and then carry out a physical examination. this may include checking your range of movement and strength. you may sometimes need to have a further examination to rule out other possible health conditions.",Tennis elbow,
"for conjunctivitis] treatment for conjunctivitis will depend on what’s causing it. you may be prescribed antibiotics to treat a bacterial infection. but these won’t work if the symptoms are caused by a virus or an allergy. allergic conjunctivitis can usually be treated with antihistamines. if possible, you should also try to avoid the substance that triggered the allergy. irritant conjunctivitis will ease when whatever is causing the symptoms is removed. some sexually transmitted infections (stis) can cause conjunctivitis. this type takes longer to get better. complete our self-help guide to check your symptoms and find out what to do next. if you're asking on behalf of someone else, please make sure the person is: if not, phone 999 and ask for an ambulance. this guide is specific to nhs scotland services. it'll tell you what to do next based on your symptoms. it won't give you a diagnosis.",Conjunctivitis,
"hand?] symptoms vary from person to person. the joints in your fingers, thumb, hands and/or wrists may become painful, swollen and difficult to use. other common symptoms include: read more from arthritis uk about osteoarthritis if you have ongoing pain and reduced function in your hand, it’s a good idea to speak to a healthcare professional. they can advise if you need further testing or treatment, or if you can manage the symptoms yourself. if you visit a healthcare professional, they’ll start by asking questions about your hand issue. they’ll then carry out a physical examination. this may include checking your range of movement and strength. you may need to have a further examination to rule out other possible health conditions. there are a number of ways to manage the symptoms of oa hand. arthritis affects everyone in a different way. symptoms can change from day to day.",Osteoarthritis of the hand,
1 to 2 months to mature into threadworms. children can get threadworms again after they’ve been treated for them if they get the eggs in their mouth. this is why it’s important to encourage children to wash their hands regularly. source: nhs 24 last updated: 16 october 2024,Threadworms,
"osteoarthritis is a condition that causes the joints to become painful and stiff. it is the most common type of arthritis in the uk. the main symptoms of osteoarthritis are pain and stiffness in your joints. this can make it difficult to move the affected joints and do certain activities. the symptoms may come and go, which can be related to things like your activity levels and even the weather. in more severe cases, the symptoms can be continuous. other symptoms you or your healthcare professional may notice include: osteoarthritis can affect any joint in the body. the most common areas affected are the knees, hips, and small joints in the hands. often, you will only experience symptoms in one joint or a few joints at any one time. as you age the tissues around your joints age too. this natural aging can sometimes develop into osteoarthritis.",Osteoarthritis,
"children sometimes sit on their bottoms and move themselves around using their legs instead of crawling. this is known as bottom shuffling. they may use different ways to do this. some: bottom-shuffling is often seen in children who have not spent time playing on their tummy. most children who bottom shuffle will start walking later (typically anything from 18 to 24 months). they will often lift their legs up when you attempt to support them in standing. it’s normal for some children to bottom shuffle instead of crawl. all children develop differently. most children will crawl. the rate at which a child develops is affected by many factors including: children who bottom shuffle usually have not tolerated being placed on their tummy. as a result, they do not develop the strength in their arms, neck and back muscles.",Bottom shuffling in young children,
"uses of transverse myelitis] there are several different causes. sometimes a cause can’t be found, and this is called idiopathic transverse myelitis. sometimes transverse myelitis is caused by an autoimmune reaction. in autoimmune diseases, the immune system mistakes the body’s own tissue as dangerous and attacks it. this causes swelling that results in damage to the myelin sheath. this includes: sometimes transverse myelitis is caused indirectly by a viral infection like: most of the time it isn’t possible to identify the specific virus. bacterial infections like syphilis might also lead to transverse myelitis. some cancers might trigger an unusual immune response. this can lead to transverse myelitis. speak to your gp practice if you have symptoms of transverse myelitis.",Transverse myelitis,
"h other. you may also have treatments as part of a clinical trial. macmillan cancer support have more information about treatment for stomach cancer. after your treatment has finished, you’ll have regular follow-up appointments. you’ll usually talk with someone from your healthcare team at the appointment. this may be your surgeon, cancer doctor, specialist nurse or another health professional. if you have any problems or new symptoms between appointments, tell your cancer doctor or specialist nurse as soon as possible. you may get anxious between appointments. this is natural. it may help to get support from family, friends or a support organisation. macmillan cancer support also has further information to support you. you can: it can take a few months to recover from treatment for stomach cancer. you’ll usually have a soft diet while you’re still in hospital.",Stomach cancer,
y. you can use: if you’re unwell you’ll still need insulin and food. if you’re unable to have either you should contact your healthcare professional. diabetes uk has more information on dka mydiabetesmyway have information and resources on detecting and treating dka source: scottish government last updated: 28 july 2026,Diabetic ketoacidosis (DKA),
you should have a brain scan to determine: everyone with suspected stroke should receive a brain scan as soon as possible when they attend hospital. this is especially important for those who: the 2 main types of brain scan that are used after someone has had a stroke are: the type of scan you may have depends on your symptoms. other tests that might be used to help diagnose a stroke are: read about treatments for stroke and life after a stroke. source: scottish government last updated: 19 august 2026,Stroke,
"viral infections like cold and flu are very common in babies and children and most will make a full recovery without needing treatment. there are some things you can do to help them feel better. your child: always trust your instincts and phone 999 if you think there’s an emergency. if your gp practice is closed, phone 111. the most common cold and flu symptoms in babies are: the most common cold and flu symptoms in children are: if your child is alert and playing and behaving normally it’s unlikely that they’re seriously ill. there’s no specific treatment for a cold or flu but there are some things you can do to make your child more comfortable. most children will make a full recovery without any medical treatment.",If your child has cold or flu symptoms,
"f how quickly the cancer might grow or spread. nets can be non-cancerous (benign) or cancerous (malignant). this information is about malignant nets. it’s mainly about nets that affect the digestive system. some nets make extra hormones and cause symptoms. these are called functioning tumours. tumours that don’t make extra hormones are called non-functioning tumours. nets are grouped according to where the cancer started (the primary tumour). for example: nets can also occur in other areas, including the: you may hear some nets referred to as carcinoid tumours. these are usually found in the bowel or the lungs. nets often grow slowly. they can be difficult to diagnose, as they may not cause symptoms for several years. but some nets grow faster and are more likely to spread to surrounding tissues and parts of the body. macmillan cancer support have more information on what cancer is. source: macmillan cancer support last updated: 27 january 2026",Neuroendocrine tumours,
"at you can do while awaiting knee surgery osteoarthritis of the knee can sometimes mean you need to take some time off work to help recovery. how long you’re off will depend on your condition and your role at work. you don’t need to be symptom free before you consider returning to work. continuing to go to work, or returning to work as soon as is possible for you, will help your recovery. gradually getting back to your normal daily activities can help to build up your strength and stamina levels. following this advice, you should see gradual improvements over time. talk to a healthcare professional if: find out about access to msk services in your area. when dealing with any health condition it’s important to also look after your mental wellbeing. this can impact your recovery. source: nhs 24 msk clinical advisory group last updated: 28 july 2026",Osteoarthritis of the knee,
"nsplant. your child will have ongoing check-ups once treatment has been completed. this means that any problems can be picked up and treated quickly. these check-ups will be frequent to begin with but will become less frequent over time. some medication and treatments can have a longer-term effect on fertility. your child’s doctor will talk to you about this if it could affect your child. some parents may need to make decisions about whether to take steps to preserve their child’s fertility. for example, by storing their sperm or eggs. find out about aplastic anaemia and the impact on family if you’re in scotland and your child has been diagnosed with any form of rare bone marrow failure, you can register with the aplastic anaemia trust. you’ll receive a: source: the aplastic anaemia trust last updated: 09 june 2026",Aplastic anaemia in children and young people,
"ave any close relatives with womb or bowel cancer. if you’re diagnosed with womb cancer, you may have further tests. these will show the position of the cancer and whether it’s spread from where it started. this is called staging. the results of these tests help you and your doctor make decisions about your treatment. they may arrange: waiting for test results can be a difficult time. macmillan cancer support have more information that can help. the stage of the womb cancer describes: grading is about how the cancer cells look under the microscope compared with normal cells. staging and grading of the cancer helps you and your doctor make decisions about your treatment. a team of specialists will meet to talk about the best treatment for you. they’re called a multidisciplinary team (mdt). the mdt will look at many factors when planning your treatment options.",Womb (uterus) cancer,
"end and let you know what to expect. there is no evidence that a particular diet causes or triggers flare-ups of crohn’s disease. but alongside medications, some changes to your diet may help control symptoms for some people. do not make major changes to your diet without talking to your ibd team and make sure you are still getting all the nutrients you need. you can speak to your ibd team about: if you smoke, it is advised that you make every effort to stop smoking, especially if you need to have surgery. if you smoke, smoking can make crohn’s worse and is it important that you make every effort to stop smoking. a woman’s chance of becoming pregnant isn’t usually affected by crohn’s disease. however, surgery for crohn’s disease might affect your fertility. most women with crohn’s disease will have a normal pregnancy and a healthy baby. but if you’re pregnant or planning a pregnancy you should discuss it with your ibd team.",Crohn’s disease,
"ain treatments prescribed are antibiotic creams or antibiotic tablets. these usually have to be used for around a week. read about treating impetigo. during treatment, it’s important to take precautions to minimise the risk of impetigo spreading to other people or to other areas of the body. most people are no longer contagious after 48 hours of treatment or once their sores have dried and healed. it’s important to stay away from work, school, nursery or playgroup until this point. the advice below can also help to prevent the spread of the infection: if you think that the infection has spread to someone else, make sure they’re seen by a pharmacist as soon as possible. to reduce the risk of impetigo returning, make sure any cuts, scratches or bites are kept clean. ensure any condition that causes broken skin, such as eczema, is treated promptly.",Impetigo,
rmation about diagnosing bone cancer. waiting for test results can be a difficult time. macmillan cancer support have more information that can help. the results of your tests give your cancer doctor information about: the grading and staging of primary bone cancer is complex. your cancer doctor or specialist nurse will talk to you about this and explain how it may help plan your treatment. macmillan cancer support have more information about staging and grading bone cancer. as primary bone cancer is rare. treatment is usually planned and given in a specialist sarcoma treatment centre. there are only a small number of sarcoma treatment centres in the uk. a team of specialists will meet to discuss the best possible treatment for you. this is called a multidisciplinary team (mdt). your cancer doctor or specialist nurse will explain the different treatments options and their side effects.,Bone cancer,
"fibromyalgia is a long-term condition that causes pain all over the body. the main symptom of fibromyalgia is widespread pain that might feel like: the pain is likely to be continuous, but it might be better or more severe at different times. as well as widespread pain, people with fibromyalgia might also have: watch flippin’ pain’s flippin’ fibromyalgia webinar to learn more about fibromyalgia it’s not clear why some people develop fibromyalgia. the exact cause is unknown, but it’s likely that many factors are involved. your brain, nerves and spinal cord make up your central nervous system. changes in the way your central nervous system sends and receives information to your body might cause fibromyalgia. fibromyalgia is a type of chronic pain.",Fibromyalgia,
"hiv is a long-term health condition that is now very easy to manage. hiv stands for human immunodeficiency virus. the virus targets the immune system and if untreated, weakens your ability to fight infections and disease. speak to a sexual health service as soon as possible if you think you might have been exposed to hiv. most people experience a short flu-like illness 2 to 6 weeks after infection, which lasts for 2 weeks. this is known as primary hiv infection. symptoms of primary hiv infection include: other symptoms can include: after these symptoms disappear, hiv may not cause symptoms for many years. during this time, hiv continues to be active and causes damage to your immune system. this means many people who have hiv do not know they’re infected.",HIV,
"f cystic fibrosis tend to start in early childhood, although they can sometimes develop very soon after birth, or may not be obvious until adulthood. some of the main symptoms of cystic fibrosis can include: people with the condition can also develop a number of related conditions, including diabetes, thin, weakened bones (osteoporosis) and liver problems. read more about the symptoms of cystic fibrosis cystic fibrosis is caused by a faulty gene that a child inherits from both of their parents. the faulty gene means that some cells struggle to move salt and water across the cell wall. this, along with recurrent infections, can result in a build-up of thick, sticky mucus in the body’s tubes and passageways. to be born with cystic fibrosis, a child has to inherit two copies of this faulty gene – one from each of their parents.",Cystic fibrosis,
"ood pressure and planning your pregnancy if you’re worried that your medication is affecting your blood pressure, speak to a healthcare professional. high blood pressure often has no symptoms. so, if you think you may have high blood pressure, or you’re on medication for it, you should check your blood pressure regularly. in rare cases, high blood pressure may cause symptoms. you have symptoms of very high blood pressure like: some gp practices now will now provide you with a blood pressure monitor to take home. this is because: a home blood pressure monitor can be used to measure your blood pressure levels over time. you can can use the monitor at a time that suits you. a healthcare professional may take blood and urine tests along with blood pressure checks. this is to check for conditions that can cause an increase in blood pressure like kidney disease.",High blood pressure (hypertension),
"the kidneys are part of the urinary system. they filter waste from the blood and make pee. kidney cancer is a disease where abnormal cells develop and grow in one of the kidneys. this forms a tumour. each year, over 13,000 people in the uk are diagnosed with kidney cancer. most people have 2 kidneys. cancer usually only affects one. this information is about the most common type of kidney cancer called renal cell cancer (rcc). if you have a rarer type, some of this information may still be helpful. but you should check with your cancer team. macmillan cancer support have more information about what cancer is. about 8 out of 10 kidney cancers (80%) are renal cell cancers (rccs). rccs start in the main outer area of the kidney called the renal cortex.",Kidney cancer,
"r home and suggest adaptations. sometimes your neurologist might offer treatment with steroids. this can help with some types of transverse myelitis. steroids are only given for a short period of time to avoid possible steroid side effects. the side effects could include: medication might help if you have an overactive bladder or need to pee frequently during the night. if you find it difficult to empty your bladder, advice from a continence nurse or physiotherapist can help. hand-held external stimulators can help some people to start peeing or to empty the bladder. sometimes a catheter can empty the bladder when needed. you might be taught how to do intermittent self catheterisation (isc). in rare cases, you may need a long-term catheter to keep the bladder emptying safely. you might be referred to a continence adviser or urologist, for specialist treatment and advice. read more about treating urinary incontinence.",Transverse myelitis,
"non-alcoholic fatty liver disease (nafld) is the term for a range of conditions caused by a build-up of fat in the liver. it’s usually seen in people who are overweight or obese. a healthy liver should contain little or no fat. it’s estimated that up to 1 in every 3 people in the uk has early stages of nafld where there are small amounts of fat in their liver. early-stage nafld doesn’t usually cause any harm, but it can lead to serious liver damage, including cirrhosis, if it gets worse. having high levels of fat in your liver is also associated with an increased risk of problems such as diabetes, heart attacks and strokes. if detected and managed at an early stage, it’s possible to stop nafld getting worse and reduce the amount of fat in your liver. nafld develops in 4 main stages. most people will only ever develop the first stage, usually without realising it.",Non-alcoholic fatty liver disease (NAFLD),
